,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"107,119,000","107,119,000","37,676,000",-,-,-,"7,051,000","7,051,000",-,-,-,"-2,738,000","-2,738,000","26,055,000",-,"6,389,000","32,686,000","-22,970,000","-22,970,000","58,614,000","58,614,000","58,614,000","-2,882,000",-,"-76,000","-137,819,000","-137,819,000","-54,278,000",-,-,"12,467,000","-159,934,000","172,401,000","-84,076,000","44,892,000","-128,968,000",-,-,-,"-11,932,000","-126,257,000","-126,257,000","8,455,000","23,902,000","32,886,000","78,442,000","-45,556,000","-8,984,000",-,-,"-3,162,000",-,"-3,162,000","-7,434,000",0,"-7,434,000","-13,562,000",-,"2,439,000","567,234,000","-156,957,000","-16,643,000","740,834,000",-,"4,355,000","23,143,000",-,0,"78,442,000","-45,556,000","-10,596,000","107,119,000"
1,3/31/2023,"-111,241,000","-111,241,000","12,622,000",-,-,-,"1,649,000","1,649,000",-,-,-,"-606,000","-606,000","1,041,000",-,"2,275,000","-128,222,000","9,823,000","9,823,000","-27,847,000","-27,847,000","-27,847,000","14,129,000",-,"-124,327,000","23,794,000","23,794,000","-1,317,000",-,-,"24,719,000","-30,111,000","54,830,000","6,973,000","9,230,000","-2,257,000",-,-,-,"-6,581,000","64,557,000","64,557,000","43,722,000","-9,297,000","-7,421,000","8,750,000","-16,171,000","-1,876,000",-,-,"-2,690,000",-,"-2,690,000",0,-,0,"-3,374,000",-,"2,513,000","546,000,000","-22,890,000","1,656,000","567,234,000",-,"1,382,000","15,287,000",-,-,"8,750,000","-16,171,000","-2,690,000","-111,241,000"
2,12/31/2022,"101,222,000","101,222,000","11,008,000",-,-,-,"1,671,000","1,671,000",-,-,-,"717,000","717,000","3,369,000",-,"2,288,000","82,169,000","18,651,000","18,651,000","-17,347,000","-17,347,000","-17,347,000","14,232,000",-,"66,633,000","-51,530,000","-51,530,000","-13,537,000",-,-,"-9,440,000","-55,401,000","45,961,000","-24,124,000","8,693,000","-32,817,000",-,-,-,"-4,429,000","-142,344,000","-142,344,000","-37,455,000","-2,759,000","1,412,000","9,498,000","-8,086,000","-4,171,000",-,-,0,-,0,"-5,434,000",0,"-5,434,000","-3,376,000",-,"-761,000","567,234,000","-92,652,000","15,699,000","644,187,000",-,"4,129,000","12,068,000",-,0,"9,498,000","-8,086,000","-5,434,000","101,222,000"
3,9/30/2022,"-18,204,000","-18,204,000","9,737,000",-,-,-,"1,771,000","1,771,000",-,-,-,"-1,369,000","-1,369,000","5,807,000",-,"1,537,000","-35,687,000","1,430,000","1,430,000","4,985,000","4,985,000","4,985,000","-2,184,000",-,"-39,918,000","39,522,000","39,522,000","20,092,000",-,-,"36,515,000","-10,843,000","47,358,000","-14,335,000","14,014,000","-28,349,000",-,-,-,"-2,750,000","-32,883,000","-32,883,000","17,324,000","1,157,000","11,592,000","23,071,000","-11,479,000","-10,435,000",-,-,0,-,0,0,0,0,"-3,412,000",-,"2,225,000","644,187,000","-11,565,000","-13,508,000","669,260,000",-,"-2,874,000","6,618,000",-,0,"23,071,000","-11,479,000",0,"-18,204,000"
4,6/30/2022,"66,018,000","66,018,000","8,649,000",-,-,-,"1,789,000","1,789,000",-,-,-,"-1,356,000","-1,356,000","5,770,000",-,"1,101,000","50,065,000","6,668,000","6,668,000","6,238,000","6,238,000","6,238,000","-16,249,000",-,"53,408,000","-53,203,000","-53,203,000","-20,426,000",-,-,"6,198,000","-35,110,000","41,308,000","-37,419,000","12,198,000","-49,617,000",-,-,-,"-1,556,000","-83,802,000","-83,802,000","-1,014,000","13,647,000","12,325,000","25,222,000","-12,897,000","1,322,000",-,-,"-707,000",-,"-707,000",0,0,0,"-3,344,000",-,"1,466,000","669,260,000","-70,987,000","-14,285,000","754,532,000",-,"2,395,000","3,369,000",-,0,"25,222,000","-12,897,000","-707,000","66,018,000"
5,3/31/2022,"-41,917,000","-41,917,000","8,282,000",-,-,-,"1,820,000","1,820,000",-,-,-,"-730,000","-730,000","11,109,000",-,"1,463,000","-63,861,000","-49,719,000","-49,719,000","64,738,000","64,738,000","64,738,000","1,319,000",-,"-80,199,000","-72,608,000","-72,608,000","-40,407,000",-,-,"-20,806,000","-58,580,000","37,774,000","-8,198,000","9,987,000","-18,185,000",-,-,-,"-3,197,000","132,772,000","132,772,000","29,600,000","11,857,000","7,557,000","20,651,000","-13,094,000","4,300,000",-,-,"-2,455,000",-,"-2,455,000","-2,000,000",0,"-2,000,000","-3,430,000",-,"-491,000","754,532,000","18,247,000","-4,549,000","740,834,000",-,"705,000","1,088,000",-,0,"20,651,000","-13,094,000","-4,455,000","-41,917,000"
6,12/31/2021,"85,095,000","85,095,000","10,399,000",-,-,-,"1,931,000","1,931,000",-,-,-,"4,811,000","4,811,000","3,943,000",-,"-1,288,000","65,299,000","13,747,000","13,747,000","-4,385,000","-4,385,000","-4,385,000","-11,387,000",-,"67,324,000","-100,158,000","-100,158,000","20,384,000",-,-,"-79,944,000","-118,354,000","38,410,000","-36,905,000","9,864,000","-46,769,000",-,-,-,"-3,693,000","-2,022,000","-2,022,000","-60,552,000","7,309,000","4,246,000","13,137,000","-8,891,000","3,063,000",-,-,"-2,122,000",-,"-2,122,000",0,0,0,"-3,386,000",-,"-2,319,000","740,834,000","-17,085,000","-1,950,000","759,869,000",-,"1,120,000","1,260,000",-,0,"13,137,000","-8,891,000","-2,122,000","85,095,000"
7,9/30/2021,"23,331,000","23,331,000","11,687,000",-,-,-,"1,928,000","1,928,000",-,-,-,"-2,090,000","-2,090,000","9,920,000",-,"-1,527,000","3,413,000","8,781,000","8,781,000","16,775,000","16,775,000","16,775,000","-3,067,000",-,"-19,076,000","-62,275,000","-62,275,000","-21,194,000",-,-,"-24,004,000","-69,171,000","45,167,000","-13,232,000","9,816,000","-23,048,000",-,-,-,"-3,845,000","97,047,000","97,047,000","9,493,000","-224,000","928,000","13,505,000","-12,577,000","-1,152,000",-,-,"-5,286,000",-,"-5,286,000","2,000,000","2,000,000",0,"-3,158,000",-,"-1,916,000","759,869,000","58,103,000","-3,655,000","705,421,000",-,"3,901,000","1,421,000",-,"2,000,000","13,505,000","-12,577,000","-5,286,000","23,331,000"
8,6/30/2021,"13,530,000","13,530,000","11,948,000",-,-,-,"2,003,000","2,003,000",-,-,-,"29,000","29,000","-12,207,000",-,"-2,285,000","14,042,000","-10,606,000","-10,606,000","7,213,000","7,213,000","7,213,000","-4,422,000",-,"21,857,000","17,698,000","17,698,000","11,492,000",-,-,"24,814,000","-45,710,000","70,524,000","-15,755,000","6,225,000","-25,301,000",-,-,-,"-2,853,000","-37,943,000","-37,943,000","-58,584,000","9,599,000","13,124,000","31,605,000","-18,481,000","-3,525,000",-,-,"-6,194,000",-,"-6,194,000","1,275,000","3,850,000","-2,575,000","-3,121,000",-,"1,005,000","705,421,000","-6,715,000","1,064,000","711,072,000",-,"13,076,000","1,334,000",-,"3,850,000","31,605,000","-18,481,000","-8,769,000","13,530,000"
9,3/31/2021,"-43,872,000","-43,872,000","14,300,000",-,-,-,"2,070,000","2,070,000","2,070,000",-,-,"998,000","998,000","-10,231,000",-,"-4,156,000","-46,853,000","-24,323,000","-24,323,000","23,559,000","23,559,000","23,559,000","7,131,000",-,"-53,220,000","15,391,000","15,391,000","23,791,000",-,-,"-17,687,000","-127,306,000","109,619,000","9,940,000","9,940,000","3,321,000",-,-,-,"-653,000","218,911,000","218,911,000","88,844,000","18,566,000","9,179,000","24,162,000","-14,983,000","9,387,000",-,-,"-4,806,000",-,"-4,806,000","1,500,000","1,500,000",0,"-3,193,000",-,"-2,501,000","711,072,000","190,430,000","-6,967,000","527,609,000",-,"640,000","1,127,000",-,"1,500,000","24,162,000","-14,983,000","-4,806,000","-43,872,000"
10,12/31/2020,"-28,052,000","-28,052,000","12,136,000",-,-,-,"2,127,000","2,127,000",-,-,-,"1,455,000","1,455,000","2,568,000",-,"-1,889,000","-44,449,000","-13,614,000","-13,614,000","-8,781,000","-8,781,000","-8,781,000","-13,886,000",-,"-8,168,000","-63,706,000","-63,706,000","23,482,000",-,-,"-59,638,000","-122,870,000","63,232,000","-23,607,000","5,050,000","-28,657,000",-,-,-,"-3,943,000","125,958,000","125,958,000","-21,217,000","2,362,000","-131,000","14,443,000","-14,574,000","2,493,000",-,-,0,-,0,0,0,0,"-3,139,000",-,"-2,359,000","527,609,000","34,200,000","5,887,000","487,522,000",-,"1,537,000","1,501,000",-,0,"14,443,000","-14,574,000",0,"-28,052,000"
