,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Other Customer Services,Fees & Commission Expense,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Impairment of Capital Assets,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"2,696,371","2,535,334","3,550,337","2,811,928","2,811,928","738,409",-,-,"1,015,003","913,563",-,"99,059","2,381",-,"161,037","124,900","124,900","107,206",-,"17,694",-,-,"10,382",-900,"11,282",-,"25,755","-78,770","862,197","51,265","44,077","766,855","766,855","524,766","30,344","211,745",-,-,-,-,-,-,"1,755,404","418,355","1,300,549","1,337,049","1,337,049","1,337,049","2,036","1,300,549",-,-,-,-,"2,456,564","1,337,049","1,337,049",-,"23,324","1,337,049",-,-,0,0
1,12/31/2022,"683,899","638,679","1,157,241","906,611","906,611","250,630",-,-,"518,562","475,183",-,"42,777",602,-,"45,220","35,417","35,417","30,721",-,"4,696",-,-,"2,771",-84,"2,855",-,"7,032","-42,761","233,310","12,771","10,621","209,918","209,918","131,435","6,742","71,741",-,-,-,-,-,-,"407,828","106,982","291,721","300,846","300,846","300,846","9,125","291,721",-,-,-,-,"595,918","300,846","300,846",-,"5,823","300,846",-,-,0,0
2,9/30/2022,"717,741","673,990","976,353","767,420","767,420","208,933",-,-,"302,363","286,036",-,"15,725",602,-,"43,751","33,495","33,495","29,005",-,"4,490",-,-,"2,132",0,"2,132",-,"8,124","-29,066","225,461","13,882","11,937","199,642","199,642","133,491","7,661","58,490",-,-,-,-,-,-,"463,214","104,747","349,342","358,467","358,467","358,467","9,125","349,342",5.59,5.57,"62,440","62,673","644,924","358,467","358,467",-,"6,007","358,467",-,-,0,0
3,6/30/2022,"686,768","649,106","774,579","604,469","604,469","170,110",-,-,"125,473","106,304",-,"18,581",588,-,"37,662","29,057","29,057","24,790",-,"4,267",-,-,"2,454",0,"2,454",-,"6,151","-4,249","210,045","12,582","12,080","185,383","185,383","132,820","7,853","44,710",-,-,-,-,-,-,"472,474","133,272","329,852","339,202","339,202","339,202","9,125","329,852",5.28,5.26,"62,440","62,692","644,857","339,202","339,202",-,"5,854","339,202",-,-,0,0
4,3/31/2022,"607,963","573,559","642,165","533,428","533,428","108,737",-,-,"68,606","46,040",-,"21,977",589,-,"34,404","26,931","26,931","22,690",-,"4,241",-,-,"3,026",-816,"3,842",-,"4,447","-2,695","193,380","12,030","9,438","171,912","171,912","127,021","8,088","36,803",-,-,-,-,-,-,"411,888","73,354","329,152","338,534","338,534","338,534","9,125","329,152",5.34,5.30,"61,670","62,125","570,864","338,534","338,534",-,"5,640","338,534",-,-,0,0
5,12/31/2021,"569,376","535,920","606,309","517,242","517,242","89,067",-,-,"70,389","46,920",-,"22,867",602,-,"33,456","25,521","25,521","21,501",-,"4,020",-,-,"5,066",0,"5,066",-,"2,869","-6,877","183,947","12,160","8,588","163,199","163,199","123,104","7,436","32,659",-,-,-,-,-,-,"378,552","106,560","263,683","271,992","271,992","271,992","9,125","263,683",-,-,-,-,"529,043","271,992","271,992",-,"5,836","271,992",-,-,0,0
6,9/30/2021,"512,243","480,876","555,720","482,396","482,396","73,324",-,-,"74,844","51,272",-,"22,970",602,-,"31,367","24,363","24,363","20,032",-,"4,331",-,-,"3,651",0,"3,651",-,"3,353","-3,985","181,243","11,761","9,981","159,501","159,501","116,924","6,896","35,681",-,-,-,-,-,-,"327,015","85,592","232,087","241,423","241,423","241,423","9,125","232,087",3.91,3.88,"59,284","59,745","476,891","241,423","241,423",-,"5,328","241,423",-,-,0,0
7,6/30/2021,"480,589","457,221","536,810","467,746","467,746","69,064",-,-,"79,589","54,948",-,"24,046",595,-,"23,368","20,504","20,504","16,605",-,"3,899",-,-,"3,393",-,"3,393",-,-529,"-8,308","172,019","10,779","7,278","153,962","153,962","112,806","4,486","36,670",-,-,-,-,-,-,"300,262","85,769","205,098","214,493","214,493","214,493","9,125","205,098",3.59,3.57,"57,128","57,527","448,913","214,493","214,493",-,"4,932","214,493",-,-,0,0
8,3/31/2021,"439,208","406,507","491,542","429,561","429,561","61,981",-,-,"85,035","57,504",-,"26,929",602,-,"32,701","20,933","20,933","16,930",-,"4,003",-,-,"7,061",-,"7,061",-,"4,707","-30,872","166,391","11,773","5,142","149,476","149,476","106,051","5,725","37,700",-,-,-,-,-,-,"241,945","51,412","179,687","190,533","190,533","190,533","10,512","179,687",3.27,3.24,"54,998","55,531","375,635","190,533","190,533",-,"4,909","190,533",-,-,0,0
9,12/31/2020,"419,175","394,984","488,558","428,339","428,339","60,219",-,-,"93,574","65,990",-,"26,989",595,-,"24,191","18,356","18,356","14,625",-,"3,731",-,-,"3,082",-17,"3,099",-,"2,753","-35,599","157,652","10,934","5,355","141,363","141,363","95,703","3,955","41,705",-,-,-,-,-,-,"225,924","52,915","174,409","173,009","173,009","173,009",-,"174,409",-,-,-,-,"359,385","173,009","173,009",-,"4,902","173,009",-,-,0,0
10,9/30/2020,"412,926","388,713","481,492","417,309","417,309","64,183",-,-,"92,779","66,069",-,"26,030",680,-,"24,213","14,054","14,054","10,871",-,"3,183",-,-,"8,619","3,623","4,996",-,"1,540","-52,664","160,563","11,618","3,399","145,546","145,546","101,306","3,190","41,050",-,-,-,-,-,-,"199,699","61,149","138,216","138,550","138,550","138,550",334,"138,216",2.62,2.62,"52,673","52,835","336,049","138,550","138,550",-,"5,208","138,550",-,-,0,0
11,6/30/2020,"399,797","387,133","481,782","414,704","414,704","67,078",-,-,"94,649","65,550",-,"28,380",719,-,"12,664","13,184","13,184","10,307",-,"2,877",-,-,"1,821",0,"1,821",-,"-2,341","-93,008","151,873","11,282","4,789","135,802","135,802","99,084","3,699","33,019",-,-,-,-,-,-,"154,916","37,702","116,683","117,214","117,214","117,214",531,"116,683",2.22,2.21,"52,672","52,785","294,125","117,214","117,214",-,"5,312","117,214",-,-,0,0
12,3/31/2020,"362,443","348,263","479,814","405,214","405,214","74,600",-,-,"131,551","99,739",-,"31,064",748,-,"14,180","14,244","14,244","10,594",-,"3,650",-,-,"2,735",0,"2,735",-,"-2,799","-66,823","143,966","10,537","4,744","128,685","128,685","93,032","2,898","32,755",-,-,-,-,-,-,"151,654","52,067","99,052","99,587","99,587","99,587",535,"99,052",1.89,1.88,"52,546","52,686","281,440","99,587","99,587",-,"5,262","99,587",-,-,0,0
13,12/31/2019,"345,582","338,294","481,396","400,934","400,934","80,462",-,-,"143,102","108,928",-,"33,441",733,-,"7,288","12,847","12,847","9,174",-,"3,673",-,-,"1,956",0,"1,956",-,"-7,515","-9,755","138,022","10,357","3,996","123,669","123,669","84,301","2,894","36,474",-,-,-,-,-,-,"197,805","49,583","147,739","148,222","148,222","148,222",483,"147,739",-,-,-,-,"328,539","148,222","148,222",-,"7,815","148,222",-,-,0,0
14,9/30/2019,"333,996","328,019","484,055","400,836","400,836","83,219",-,-,"156,036","118,308",-,"36,574","1,154",-,"5,977","11,630","11,630","8,178",-,"3,452",-,-,"2,872",120,"2,752",-,"-8,525","-1,164","134,295","10,854","4,075","119,366","119,366","86,438","3,191","29,737",-,-,-,-,-,-,"198,537","49,809","148,241","148,728","148,728","148,728",487,"148,241",2.75,2.74,"53,722","53,830","326,855","148,728","148,728",-,"4,530","148,728",-,-,0,0
15,6/30/2019,"334,883","326,288","480,661","399,392","399,392","81,269",-,-,"154,373","109,447",-,"38,863","6,063",-,"8,595","11,285","11,285","7,546",-,"3,739",-,-,"4,494",361,"4,133",-,"-7,184","-5,408","131,888","10,524","3,731","117,633","117,633","84,446","3,164","30,023",-,-,-,-,-,-,"197,587","49,676","147,433","147,911","147,911","147,911",478,"147,433",2.71,2.71,"54,213","54,250","320,880","147,911","147,911",-,"4,355","147,911",-,-,0,0
16,3/31/2019,"325,080","318,992","465,565","383,085","383,085","82,480",-,-,"146,573","104,047",-,"36,697","5,829",-,"6,088","11,668","11,668","8,028",-,"3,640",-,-,"2,548",553,"1,995",-,"-8,128","-6,309","125,064","11,098","2,888","111,078","111,078","79,869","3,184","28,025",-,-,-,-,-,-,"193,707","49,642","143,600","144,065","144,065","144,065",465,"143,600",2.64,2.63,"54,165","54,269","312,683","144,065","144,065",-,"3,447","144,065",-,-,0,0
17,12/31/2018,"340,951","335,033","460,817","380,328","380,328","80,489",-,-,"125,784","89,984",-,"30,225","5,575",-,"5,918","11,261","11,261","7,845",-,"3,416",-,-,"1,784",179,"1,605",-,"-7,127","-6,441","119,143","9,139","3,612","106,392","106,392","77,072","3,752","25,568",-,-,-,-,-,-,"215,367","54,527","160,376","160,840","160,840","160,840",464,"160,376",-,-,-,-,"328,592","160,840","160,840",-,"3,350","160,840",-,-,0,0
