,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Other Working Capital,Dividend Received CFO,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Dividends Received CFI,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"2,066,022","2,066,022","1,128,083","-7,717",-,-,"-1,306","-6,411","159,851","159,851","-43,988","-43,988","-1,355","56,703","6,861","37,601",-,"73,500","648,897","187,512","187,512","461,385","461,385",-,"7,586","-4,582,892","-4,582,892","1,561,311","596,994","596,994","-186,369","-1,120,608","1,101,542",-,-,"-6,571,077","602,725","-7,173,802",-,-,-,-,-,-,"18,221","-1,972","2,114,210","2,114,210",0,"-250,937","-250,943","4,950,200","-5,201,143",6,6,-,"-119,077",-,"-119,077",-,-,"-228,381","-228,381",-,"3,178",-,"3,481,784","-402,660","-28,491","3,912,935",-,"281,269","249,587",-,-,"4,950,206","-5,201,143","-119,077","2,066,022"
1,12/31/2022,"449,603","449,603","336,763",-443,-,-,0,-443,"77,871","77,871","-37,881","-37,881","-6,426","30,367",-,"8,263",-,"25,000","7,284","130,554","130,554","-123,270","-123,270",-,"1,944","-332,562","-332,562","100,794","491,515",-,"-176,923","-301,601","200,271",-,-,"-749,720","149,410","-899,130",-,-,-,-,-,-,"4,664","-2,892","1,194,624","1,194,624","-511,791","-325,227","-325,233","350,000","-675,233",-,-,-,-104,-,-104,-,-,"-56,390","-56,390",-,"1,734",-,"3,481,784","1,311,665","6,766","2,163,353",-,"48,187","142,441",-,-,"350,006","-675,233",-104,"449,603"
2,9/30/2022,"687,365","687,365","295,339","-2,129",-,-,0,"-2,129","33,069","33,069","1,447","1,447","1,875","4,817",-,"12,329",-,"27,000","312,388","185,029","185,029","127,359","127,359",-,"1,230","-274,921","-274,921","529,808","82,037",-,"74,617","-1,992","118,774",-,-,"-965,789","127,502","-1,093,291",-,-,-,-,-,-,"4,840",-434,"-129,593","-129,593","200,006","149,796","149,747","650,200","-500,453",-,-,-,-6,-,-6,-,-,"-56,368","-56,368",-,0,-,"2,163,353","282,851","-21,551","1,902,053",-,"44,572","62,089",-,-,"650,200","-500,404",-6,"687,365"
3,6/30/2022,"643,169","643,169","258,329",-945,-,-,-28,-917,"22,356","22,356",-471,-471,"3,133","9,695",-,"8,576",-,"13,500","327,811","-46,443","-46,443","374,254","374,254",-,"1,185","-2,292,895","-2,292,895","534,028","103,075",-,"129,951","-70,160","216,803",-,-,"-3,068,430","190,296","-3,258,726",-,-,-,-,-,-,"4,369","4,112","-282,408","-282,408","311,685","99,854","99,872",-,"-3,850,128",-18,-,-18,"-100,370",-,"-100,370",-,-,"-56,723",-,-,-,-,"1,902,053","-1,932,134","-14,513","3,848,700",-,-,"24,176",-,-,-,"-3,850,146","-100,370","643,169"
4,3/31/2022,"285,885","285,885","237,652","-4,200",-,-,"-1,278","-2,922","26,555","26,555","-7,083","-7,083",63,"11,824",-,"8,433",-,"8,000","1,414","-81,628","-81,628","83,042","83,042",-,"3,227","-1,682,514","-1,682,514","396,681","-79,633",-,"-214,014","-746,855","565,694",-,-,"-1,787,138","135,517","-1,922,655",-,-,-,-,-,-,"4,348","-2,758","1,331,587","1,331,587",100,"-175,360","-175,329",-,"-175,329",-31,-,-31,"-18,597",-,"-18,597",-,-,"-58,900",-,-,-,-,"3,848,700","-65,042",807,"3,912,935",-,-,"20,881",-,-,-,"-175,360","-18,597","285,885"
5,12/31/2021,"422,591","422,591","217,796","-2,698",-,-,-390,"-2,308","40,421","40,421","3,975","3,975",-853,"16,075",308,"8,520",-,"-10,000","143,554","203,145","203,145","-59,591","-59,591",-,"5,493","-1,299,318","-1,299,318","242,639","68,687",-,"-452,030","-895,266","491,190",-,-,"-1,188,504","189,984","-1,378,488",-,-,-,-,-,-,"8,814","26,764","-68,398","-68,398",0,-297,-297,400,-697,0,-,-,-194,-,-194,-,-,"-46,851",-,-,"1,393",-,"3,912,935","-945,125","5,159","4,852,901",-,"2,008","16,851",-,-,400,"-21,840",-194,"416,574"
6,9/30/2021,"342,020","342,020","225,449","-3,683",-,-,-354,"-3,329","45,969","45,969","-1,784","-1,784","-6,390","6,082",-,"8,022",-,"-10,000","69,452","-4,840","-4,840","74,292","74,292",-,"4,060","-2,215,437","-2,215,437","-296,958","25,110",-,"-1,376,494","-1,869,177","541,785",-,-,"-443,849","167,886","-611,735",-,-,-,-,-,-,643,"-123,889","730,672","730,672",0,-296,-296,0,-296,0,-,-,-254,-,-254,-,-,"-46,851","-46,851",-,0,-,"4,852,901","-1,142,745","-2,159","5,997,805",-,"23,250","18,605",-,-,0,-296,-254,"342,020"
7,6/30/2021,"32,296","32,296","224,742","-2,123",-,-,-632,"-1,491","32,912","32,912","2,347","2,347","5,275","5,540",-,"8,208",-,"-15,000","-230,664","-259,486","-259,486","28,822","28,822",-,"1,059","-1,218,540","-1,218,540","-139,146","-49,534",-,"-563,780","-1,045,572","521,816",-,-,"-473,489","101,425","-574,914",-,-,-,-,-,-,"2,151","3,695","2,697,496","2,697,496",-,"-405,298","-405,298",-,"-405,298",0,-,-,-271,-,-271,-,-,"-46,847","-46,847",-,"1,180",-,"5,997,805","1,511,252","-132,580","4,619,133",-,"114,202","22,548",-,-,-,"-405,298",-271,"33,859"
8,3/31/2021,"371,515","371,515","204,994","-1,973",-,-,-192,"-1,781","37,490","37,490",224,224,"1,946","5,770",-,"7,817",-,0,"112,742","185,677","185,677","-72,935","-72,935",-,"2,505","-4,383,909","-4,383,909","-700,038","29,000",-,"-2,502,191","-2,969,640","520,205",-,-,"-1,210,642","147,115","-1,357,757","-1,563","-1,563",-,-,-,-,"2,832","-1,307","4,475,275","4,475,275",-,"-21,458",-315,-,-315,"-21,143",-,-,"-14,983",-,"-14,983",-,-,"-48,213","-48,213",-,0,-,"4,619,133","462,881","138,281","4,017,971",-,0,"29,680","-1,563",-,-,-315,"-14,983","369,952"
9,12/31/2020,"262,711","262,711","164,084","-3,490",-,-,-432,"-3,058","23,819","23,819","-41,424","-41,424","4,223","1,518",-,"7,036",-,"24,340","78,753","125,342","125,342","-46,589","-46,589",-,"3,852","-2,453,518","-2,453,518","-250,000","-209,636",-,"-1,074,812","-1,590,391","568,276",-,-,"-930,528","77,829","-1,008,357","2,875",-396,"3,271",-,-,-,"13,300","-4,717","1,651,693","1,651,693","-56,803","-1,472,658","-1,432,726",100,"-1,432,826","-39,932",-,-,-597,-,-597,-,-,"-39,037","-39,037",-,"1,156",-,"4,017,971","-539,114","50,144","4,506,941",-,"34,298","44,482",-396,-,100,"-1,432,826",-597,"262,315"
10,9/30/2020,"159,698","159,698","159,537","-1,059",-,-,-698,-361,"27,163","27,163",20,20,603,927,-,"7,921",-,"10,000","-49,241","-8,836","-8,836","-40,405","-40,405",-,"3,827","-884,585","-884,585","50,000","-52,474",-,"-672,807","-1,333,776","694,275",-,-,"-208,071","110,020","-318,091",-414,-414,0,-,-,-,653,"-1,472","729,580","729,580","48,063","-196,208","-1,290",100,"-1,390","-194,918",-,-,-31,-,-31,-,-,"-38,914","-38,914",-,0,0,"4,506,941","4,693","-31,254","4,533,502",-,"76,505","42,934",-414,-,100,"-1,390",-31,"159,284"
11,6/30/2020,"179,213","179,213","99,352","-9,775",-,-,"-9,640",-132,"37,740","37,740",-139,-139,"-2,340","-14,382",-,"7,071",-,"102,443","-40,891","6,392","6,392","-47,283","-47,283",-,134,"-2,105,283","-2,105,283","-400,000","-200,078",-,"-170,330","-846,957","717,930",-,-,"-1,338,171","33,070","-1,371,241",953,-930,-,-,-,-,"1,574","1,064","3,408,492","3,408,492",-,"1,624,110","1,438,238","1,447,369","-9,131","185,872",-,-,-16,-,-16,-,-,"-38,913","-38,913",-,-,-,"4,533,502","1,482,422","-28,962","3,080,042",-,"2,705","57,203",-930,-,"1,447,369","-9,131",-16,"178,283"
12,3/31/2020,"91,703","91,703","144,824","-2,476",-,3,"-1,529",-950,"31,186","31,186",28,28,"-1,306","-4,519",-,"7,209",-,"73,870","-158,086","-462,766","-462,766","304,680","304,680",-,973,"-1,405,330","-1,405,330","250,000","-115,419",-,"-399,628","-987,130","615,083",295,295,"-1,138,598","110,945","-1,249,543",-916,-916,-,-,-,-,374,"-1,438","1,119,028","1,119,028",-,"-60,326","-100,288",0,"-100,288","39,962",-,-,"-153,575",-,"-153,575",-,-,"-41,358","-41,358",-,-,-,"3,080,042","-194,599","13,492","3,261,149",-,"2,904","88,520",-916,-,0,"-100,288","-153,575","90,787"
13,12/31/2019,"346,810","346,810","188,215","-1,998",0,-66,-864,"-1,068","40,958","40,958","-19,170","-19,170",-204,"-9,462",-,"7,749",-,"18,577","121,687","192,368","192,368","-70,681","-70,681",-,458,"-702,358","-702,358","150,000","-11,019",-,"-105,728","-1,084,017","1,021,907","1,224","1,224","-740,159","64,161","-804,320",-952,"-1,355",-,0,0,-,"4,939",-663,"591,739","591,739",-,"-19,727",-227,0,-227,"-19,500",-,-,-405,"1,488",-405,-,-,"-40,121","-40,121",-,"1,488",-,"3,261,149","236,191","-17,323","3,042,281",-,"42,222","105,047","-1,355","1,488",0,-227,-405,"345,455"
14,9/30/2019,"99,018","99,018","171,416","-2,143",0,-48,-58,"-2,037","31,107","31,107",-324,-324,477,"-3,100",-,"7,487",-,"38,284","-145,660","-213,033","-213,033","67,373","67,373",-,"1,474","-871,667","-871,667","150,000","-17,913",-,"-676,511","-902,560","267,778",0,0,"-327,699","54,488","-382,187","-4,090","-4,090",-,0,0,-,927,"3,619","205,339","205,339",-,"28,849",-223,0,-223,"29,072",-,-,-61,1,-61,-,-,"-40,037","-40,037",-,1,-,"3,042,281","-567,310","-12,023","3,621,614",-,"39,921","110,216","-4,090",1,0,-223,-61,"94,928"
15,6/30/2019,"150,760","150,760","150,380","-1,462",0,0,"-1,447",-15,"32,615","32,615","-1,704","-1,704",9,"-5,403",-,"8,081",-,"19,245","-51,389","-122,515","-122,515","71,126","71,126",-,388,"-878,470","-878,470",-,"-22,988",-,"10,147","-246,935","285,376",0,0,"-887,395","77,287","-964,682","-1,078","-1,078",-,0,0,-,"2,631","-4,787","578,514","578,514",-,"381,189","399,782","1,200,000","-800,218","-18,593",-,-,-133,-,-133,-,-,"-40,033","-40,033",-,-,-,"3,621,614","-149,196","-14,515","3,785,325",-,"75,850","105,647","-1,078",-,"1,200,000","-800,218",-133,"149,682"
16,3/31/2019,"139,241","139,241","164,024","-2,476",0,0,"-1,561",-915,"39,498","39,498",-406,-406,287,"-4,414",-,"7,444",-,"22,579","-88,445","-27,639","-27,639","-60,806","-60,806",-,"1,150","-118,681","-118,681",-,"245,375",-,"103,985","-69,805","207,051",0,0,"-464,981","92,887","-557,868","-3,336","-3,336",-,0,0,-,"1,005",-729,"749,370","749,370",-,"-1,731","17,783","300,000","-282,217","-19,514",-,-,"-14,036",-,"-14,036",-,-,"-34,916","-34,916",-,-,-,"3,785,325","769,930","14,018","3,001,377",-,303,"97,930","-3,336",-,"300,000","-282,217","-14,036","135,905"
17,12/31/2018,"189,856","189,856","173,018","-2,751",0,"-1,081",-161,"-1,509","43,722","43,722","-17,841","-17,841",616,"-6,101",-,"6,736",-,"17,959","-26,593","-22,627","-22,627","-3,966","-3,966",-,"1,091","-1,178,277","-1,178,277",0,"29,137",-,"-27,593","-374,051","406,080",882,882,"-1,177,860","120,739","-1,298,599","-2,731","-4,369","1,638",0,0,0,921,"-1,033","1,767,461","1,767,461",-,"-11,739","-10,000",-,"-10,000","-1,739",-,-,"-14,116","1,518",-,-,-,"-33,356","-33,356",-,"1,518",-,"3,001,377","779,040","3,550","2,218,787",-,"14,808","86,604","-4,369","1,518",-,"-10,000",-,"185,487"
18,9/30/2018,"258,449","258,449","171,302","-4,582",0,"-3,402",-35,"-1,145","33,448","33,448",51,51,"-1,675","-4,561",-,"10,986",-,"10,542","42,082","-5,938","-5,938","48,020","48,020",-,856,"-1,178,572","-1,178,572","-60,000","-53,450",-,"-78,657","-279,262","232,144",7,7,"-986,403","88,424","-1,074,827","-1,806","-1,806",-,0,0,-,"2,539",-802,"860,732","860,732",-,"-1,764","-5,000",-,"-5,000","3,236",-,-,"15,161",0,-,-,-,"-33,389","-33,389",-,0,-,"2,218,787","-59,391","-19,293","2,297,471",-,"3,633","67,246","-1,806",0,-,"-5,000",-,"256,643"
19,6/30/2018,"217,013","217,013","172,349","-3,678",0,"-1,114",-210,"-2,354","32,471","32,471",643,643,"1,043","-7,230",-,"7,057",-,"15,536","-2,105","-46,691","-46,691","44,586","44,586",-,927,"-435,245","-435,245","75,000","99,728",-,"69,639","-77,427","165,711",879,879,"-675,499","161,821","-837,320","-5,855","-5,855",-,0,0,-,"1,096",-233,"228,201","228,201",-,"24,680","-5,000",-,"-5,000","29,680",-,-,-215,-,-215,-,-,"-29,008","-29,008",-,-,-,"2,297,471","9,969","-27,436","2,314,938",-,"57,347","55,958","-5,855",-,-,"-5,000",-215,"211,158"
20,3/31/2018,"217,854","217,854","187,032","-36,267","-31,470","-1,086","-2,129","-1,582","29,858","29,858",677,677,"-1,924","-2,680",-,"6,158",-,"20,218","13,895","14,465","14,465",-570,-570,-,887,"-1,040,318","-1,040,318",0,"-71,203",-,"121,735","-157,933","302,467","2,716","2,716","-586,784","112,964","-699,748","-1,757","-1,757",0,"-503,687","-503,687",-,629,"-1,967","944,414","944,414",-,"25,215","-5,000",-,"-5,000","30,215",-,-,"-14,946",-,"-14,946",-,-,"-30,235","-30,235",-,-,-,"2,314,938","121,950","18,396","2,174,592",-,"10,084","43,218","-1,757",-,-,"-5,000","-14,946","216,097"
21,12/31/2017,"31,923","31,923","84,898","-6,810",0,"-3,296","-1,304","-2,210","26,814","26,814","48,356","48,356",-584,"11,977",-,"8,877",-,"15,517","-157,122","-59,724","-59,724","-97,398","-97,398",-,-,"-434,247","-434,247","200,000","11,158",-,"-120,808","-326,935","246,198","1,568","1,568","-522,579","118,009","-640,588","1,572","-2,156","3,728",0,-,0,-,"-5,158","828,974","828,974",-,"-29,956","-5,000",-,"-5,000","-24,956",-,-,-277,"1,272",-277,-,-,"-28,940","-28,940",-,"1,272",-,"2,174,592","426,650","11,193","1,736,749",-,"86,326","40,357","-2,156","1,272",-,"-5,000",-277,"29,767"
22,9/30/2017,"284,730","284,730","132,660","-8,749",-,"-1,043","-1,539","-2,360","43,842","43,842","-18,199","-18,199",809,"-5,889",-,"5,665",-,"12,996","121,595","11,177","11,177","110,418","110,418",-,-,"-1,422,502","-1,422,502","50,000","-105,314",-,"-77,514","-228,971","203,580",133,133,"-1,292,189","87,299","-1,379,488","-6,608","-6,608",0,-,-,-,-,"5,357","110,925","110,925",-,-83,0,-,0,-83,-,-,-404,0,-404,-,-,"-28,931","-28,931",-,0,-,"1,736,749","-1,026,847","11,120","2,752,476",-,"-2,999","34,993","-6,608",0,-,0,-404,"278,122"
23,6/30/2017,"194,976","194,976","118,330","-5,308",-,"-1,042","-2,720","-1,546","46,105","46,105","1,404","1,404","3,357","-8,417",-,"4,964",-,"10,685","23,856","1,051","1,051","22,805","22,805",-,-,"-431,303","-431,303","200,000","-44,080",-,"116,122","-221,762","368,997","1,340","1,340","-712,098","84,737","-796,835","-3,799","-3,799",0,-,-,-,-,"11,212","548,090","548,090",-,"-22,997","-5,000",-,"-5,000","-17,997",-,-,-105,-,-105,-,-,"-28,910","-28,910",-,-,-,"2,752,476","311,763","6,070","2,434,643",-,-,"33,055","-3,799",-,-,"-5,000",-105,"191,177"
24,3/31/2017,"185,277","185,277","169,736","-77,235",-,"-72,007","-2,474","-2,754","33,061","33,061","2,295","2,295","-5,578","-4,931",-,"5,151",-,"7,068","55,710","93,501","93,501","-37,791","-37,791",-,-,"-212,403","-212,403","200,000","75,140",-,"338,372","-50,936","427,662","3,958","3,958","-956,048","276,643","-1,232,691","114,830","-1,191","116,021",-,-,-,-,"11,345","580,471","580,471",-,"-23,524","-5,000",-,"-5,000","-18,524",-,-,"-12,154",-,"-12,154",-,-,"-30,039","-30,039",-,-,-,"2,434,643","553,345","2,795","1,878,503",-,-,"30,361","-1,191",-,-,"-5,000","-12,154","184,086"
25,12/31/2016,"224,252","224,252","110,734","-1,843",-,-829,"-1,894",880,"64,035","64,035","23,236","23,236",-901,"-13,161",-,"8,129",-,"10,461","22,543","26,407","26,407","-3,864","-3,864",-,-,"-1,319,391","-1,319,391","-350,000",-,-,"-182,573","-1,052,006","899,551","4,137","4,137","-761,661","115,769","-877,430",-,-,-,-,-,-,-,"8,955","1,314,786","1,314,786",0,"19,807","-5,000",-,"-5,000","24,807",-,-,-81,"1,020",-81,-,-,"-28,844","-28,844",-,"1,020",36,"1,878,503","219,647","-7,976","1,666,832",-,"18,826","27,501",-,"1,020",-,"-5,000",-81,"224,252"
26,9/30/2016,"146,301","146,301","110,143","-4,813",-,-865,"-1,790","-2,158","43,369","43,369",-627,-627,"1,964","-7,921",-,"4,763",-14,"9,525","-10,088","3,012","3,012","-13,100","-13,100",-,-,"-423,588","-423,588","350,000",-,-,"-158,133","-650,787","505,724",-,-,"-620,168","147,246","-767,414",-,-,-,-,-,-,-,"2,233","351,840","351,840",0,"2,635","-5,000",-,"-5,000","7,635",-,-,-50,900,-50,-,-,"-28,832","-28,832",-,900,14,"1,666,832","74,553",-517,"1,592,796",-,"14,293","26,706",-,900,-,"-5,000",-50,"152,786"
27,6/30/2016,"87,753","87,753","103,284","-7,960",-,"-2,242","-2,836","-2,882","26,579","26,579",639,639,926,"-14,105",-,"4,635",-19,"6,053","-32,279","-6,639","-6,639","-25,640","-25,640",-,-,"-380,207","-380,207","-50,000",-,-,"60,192","-469,533","566,007",-,-,"-395,643","246,178","-641,821",-,-,-,-,-,-,-,"4,453","-376,107","-376,107",-,"15,102","-5,000",-,"-5,000","20,102",-,-,-40,"1,062",-40,-,-,"-28,827","-28,827",-,"1,062",19,"1,592,796","-668,561","-3,940","2,265,297",-,-,"25,735",-,"1,062",-,"-5,000",-40,"81,268"
28,3/31/2016,"183,550","183,550","107,516","-5,962",-,-193,"-3,842","-1,927","28,613","28,613","3,718","3,718",477,"-15,855",-,"4,575",-986,"1,440","60,014","2,057","2,057","57,957","57,957",-,-,"330,526","330,526",0,-,-,"575,227","-223,873","807,490",-,-,"-253,293","151,832","-405,125",-,-,-,-,-,-,-,"8,592","389,841","389,841",-,"-695,038","-705,000",-,"-705,000","9,962",-,-,"-3,054",0,"-3,054",-,-,"-29,325","-29,325",-,0,986,"2,265,297","903,917",493,"1,360,887",-,-,"24,309",-,0,-,"-705,000","-3,054","183,550"
