,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Other Customer Services,Investment Banking Profit,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income from Tax Loss Carryforward,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"1,482,000","1,396,000","2,092,000","1,848,000",-,"244,000",-,-,"44,000","696,000","383,000",-,"313,000",-,"86,000","32,000","36,000","36,000","36,000",-,"25,323",-,"3,000","-2,000","5,000",-,"15,000","-133,000","609,000","92,000","512,000","512,000","354,000",-,"158,000","5,000","5,000","5,000","5,000","250,000","86,000",-,"-84,000",-,-,-,"-2,000",-,"826,000","176,000","609,000","650,000","650,000","650,000",-,"33,000","609,000",-,-,-,-,"1,263,000","650,000","582,370",-,"23,000","650,000","86,000","86,000",0,"18,370"
1,3/31/2023,"652,000","555,000","1,034,000","867,000",-,"167,000",-,-,-,"479,000","283,000",-,"196,000",-,"97,000","10,000","56,000","56,000","56,000",-,-,-,"20,000",0,"20,000",-,"11,000","-170,000","409,000","37,000","219,000","219,000","219,000",-,"136,000","15,000","15,000","15,000","15,000","175,000","1,934,000",-,"-1,934,000",-,-,-,-,-,"2,007,000","1,000","1,998,000","2,006,000","2,006,000","2,006,000",-,"8,000","1,998,000",2.88,2.87,"686,912","688,272","385,000","2,006,000","72,580",-,"15,000","2,006,000","1,934,000","1,934,000",0,580.2
2,12/31/2022,"418,000","379,000","681,000","589,000",-,"75,000",-,-,"17,000","302,000","200,000",-,"102,000",-,"39,000","8,000","19,000","19,000","19,000",-,-,-,"5,000",0,"5,000",-,"7,000","-124,000","209,000","25,000","116,000","116,000","116,000",-,"63,000","5,000","5,000","5,000","5,000","88,000","99,000",-,"-99,000",-,-,-,-,-,"184,000","12,000","164,000","172,000","172,000","172,000",-,"8,000","164,000",0.30,0.30,"537,754","539,723","255,000","172,000","79,950",-,"5,000","172,000","99,000","99,000",0,"6,950"
3,9/30/2022,"343,000","326,000","509,000","442,000",-,"51,000",-,"4,000","16,000","183,000","110,000",-,"73,000",-,"17,000","10,000","5,000","5,000","5,000",-,-,-,"-1,000","-1,000",-,-,"3,000","-2,000","132,000","22,000","110,000","110,000","79,000",-,"31,000",-,-,-,-,-,"-4,000",-,"4,000",-,-,-,-,-,"205,000","53,000","144,000","152,000","152,000","152,000",-,"8,000","144,000",0.31,0.30,"465,115","466,094","324,000","152,000","154,974","4,000","4,000","152,000","-4,000","-4,000",0,"-1,026"
4,6/30/2022,"375,300","359,000","473,000","424,000",-,"40,000",-,"2,000","9,000","114,000","46,000",-,"68,000",-,"16,300","7,000","6,000","6,000","6,000",-,-,-,0,0,-,-,"3,300","-9,000","134,000","22,000","112,000","112,000","79,000",-,"33,000",-,-,-,-,-,"-2,300",-,"4,000",-,-,-,"-1,700",-,"230,000","59,000","163,000","171,000","171,000","171,000",-,"8,000","163,000",0.34,0.34,"465,811","466,800","350,000","171,000","172,711","2,000","4,000","171,000","-2,300","-2,300",0,-588.8
5,3/31/2022,"346,000","332,000","429,000","393,000",-,"34,000",-,"1,000","2,000","97,000","27,000",-,"70,000",-,"14,000","7,000","6,000","6,000","6,000",-,-,-,"-1,000","-1,000",-,-,"2,000","2,000","134,000","23,000","111,000","111,000","80,000",-,"31,000",-,-,-,-,-,"-7,000",-,"7,000",-,-,-,-,-,"207,000","52,000","147,000","155,000","155,000","155,000",-,"8,000","147,000",0.31,0.31,"465,138","465,947","334,000","155,000","160,239","1,000","5,000","155,000","-7,000","-7,000",0,"-1,761"
6,12/31/2021,"338,000","322,000","420,000","380,000",-,"38,000",-,-,"2,000","98,000","27,000",-,"71,000",-,"16,000","7,000","6,000","6,000","6,000",-,-,-,0,0,-,-,"3,000","-4,000","128,000","23,000","105,000","105,000","74,000",-,"31,000",-,-,-,-,-,"-7,000",-,"7,000",-,-,-,-,-,"199,000","49,000","142,000","150,000","150,000","150,000",-,"8,000","142,000",0.30,0.30,"464,047","464,047","318,000","150,000","155,257",-,"5,000","150,000","-7,000","-7,000",0,"-1,743"
7,9/30/2021,"333,000","318,000","415,000","376,000",-,"37,000",-,-,"2,000","97,000","26,000",-,"71,000",-,"15,000","7,000","6,000","6,000","6,000",-,-,-,0,0,-,-,"2,000","1,000","129,000","22,000","107,000","107,000","77,000",-,"30,000",-,-,-,-,"-6,000","-6,000",-,"6,000",-,-,-,-,-,"199,000","50,000","140,000","149,000","149,000","149,000",-,"9,000","140,000",0.30,0.30,"464,047","464,882","319,000","149,000","153,489",-,"5,000","149,000","-6,000","-6,000",0,"-1,511"
8,6/30/2021,"347,000","331,000","431,000","386,000",-,"43,000",-,-,"2,000","100,000","28,000",-,"72,000",-,"16,000","8,000","6,000","6,000","6,000",-,-,-,0,0,-,-,"2,000","4,000","129,000","22,000","107,000","107,000","74,000",-,"33,000",-,-,-,-,-,"-10,000",-,"10,000",-,-,-,-,-,"212,000","60,000","144,000","152,000","152,000","152,000",-,"8,000","144,000",0.30,0.30,"464,093","464,895","335,000","152,000","159,162",-,"5,643","152,000","-10,000","-10,000",0,"-2,838"
9,3/31/2021,"332,066","317,659","423,108","383,430",-,"38,430",-,-,"1,248","105,449","33,378",-,"72,071",-,"14,407","6,890","5,539","5,539","5,539",-,-,-,-483,-483,-,-,"2,461","-3,569","132,401","21,481","110,920","110,920","78,026",-,"32,894",-,-,-,-,-,-,-,-,-,-,-,-,-,"196,096","50,500","137,389","145,596","145,596","145,596",-,"8,207","137,389",0.29,0.29,"463,293","463,887","314,090","145,596","145,596",-,"5,357","145,596",-,-,0,0
10,12/31/2020,"322,950","307,917","425,827","388,082","388,082","37,082",-,-,663,"117,910","44,046",-,"73,864",-,"15,033","7,292","6,045","6,045","6,045",-,-,-,128,128,-,-,"1,568","-11,036","133,568","22,876","110,692","110,692","72,576",-,"38,116",-,-,-,-,-,-,-,-,-,-,-,-,-,"178,346","-11,318","181,457","189,664","189,664","189,664",-,"8,207","181,457",0.39,0.39,"461,732","462,592","296,881","189,664","189,664",-,"5,389","189,664",-,-,0,0
11,9/30/2020,"295,654","281,886","418,049","380,337","380,337","37,398",-,-,314,"136,163","61,402",-,"74,761",-,"13,768","7,566","5,240","5,240","5,240",-,-,-,-284,-284,-,-,"1,246","-13,016","128,508","23,960","104,548","104,548","73,182",-,"31,366",-,-,-,-,-,-,-,-,-,-,-,-,-,"154,130","38,360","107,563","115,770","115,770","115,770",-,"8,207","107,563",0.23,0.23,"461,781","462,646","268,870","115,770","115,770",-,"5,815","115,770",-,-,0,0
12,6/30/2020,"281,252","265,872","423,075","381,884","381,884","40,973",-,-,218,"157,203","83,500",-,"73,703",-,"15,380","9,503","3,723","3,723","3,723",-,"3,723",-,887,887,-,-,"1,267","-17,574","123,593","21,177","102,416","102,416","75,705",-,"26,711",-,-,-,-,-,-,-,-,-,-,-,-,-,"140,085","34,738","97,140","105,347","105,347","105,347",-,"8,207","97,140",0.21,0.21,"461,934","462,489","248,298","105,347","105,347",-,"6,260","105,347",-,-,0,0
13,3/31/2020,"261,366","244,467","441,042","391,911","391,911","47,276",-,-,"1,855","196,575","117,053",-,"79,522",-,"16,899","7,389","7,018","7,018","7,018",-,"7,018",-,534,534,-,-,"1,958","-20,601","125,522","17,875","107,647","107,647","79,451",-,"28,196",-,-,-,-,-,-,-,-,-,-,-,-,-,"115,243","14,915","92,121","100,328","100,328","100,328",-,"8,207","92,121",0.20,0.20,"464,994","465,413","223,866","100,328","100,328",-,"6,407","100,328",-,-,0,0
14,12/31/2019,"259,932","242,470","450,683","393,660","393,660","54,434",-,-,"2,589","208,213","128,260",-,"79,953",-,"17,462","8,118","7,002","7,002","7,002",-,"7,002",-,-30,-30,-,-,"2,372","-1,702","126,097","22,575","103,522","103,522","72,525",-,"30,997",-,-,-,-,0,"7,402",-,0,-,-,-,"-7,402",-,"132,133","30,959","92,967","101,174","101,174","101,174",-,"8,207","92,967",0.20,0.20,"465,320","465,738","240,768","101,174","101,174",-,"6,625","101,174","7,402","7,402",0,0
