,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Liabilities of Discontinued Operations,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
0,3/31/2023,"44,302,981","6,680,136","6,680,136","218,830",-,"6,461,306",-,-,-,"147,150","2,135",-,"207,402","7,122,257","458,905","2,273,650","4,848,607","3,978","28,258,534","28,468,589","2,796,208","5,229,107","427,223","20,016,051",-,"210,055","-98,531","433,069","173,209",-,"259,860","36,730","460,330","460,330",-,-,-,-,"460,330",-,"28,970",0,"28,970","342,557","342,557","1,603,469","41,531,504","28,187,561","21,156,802","21,156,802","7,030,759","1,393,337","1,393,337","593,416","593,416","593,416","5,578,375","5,578,375","128,375","5,450,000","12,750,527","12,750,527",-,-,"2,771,477","2,771,477","499,748","498,516","1,232","215,253","2,903,428","110,892","-736,060",-,-,"15,522,004","498,516","2,771,477","2,742,507","12,750,527","2,742,507","12,750,527","6,070,391","123,169","120,244","2,925"
1,12/31/2022,"41,228,936","2,240,222","2,240,222","212,273",-,"2,027,949",-,-,-,"34,290","5,022",-,"207,797","7,112,622","454,063","2,269,135","4,843,487","4,048","28,473,473","28,674,205","65,076","8,281,962","444,671","19,882,496",-,"200,732","-116,887","395,867","157,109",-,"238,758","26,752","458,560","458,560","1,243","9,667","52,987","77,506","458,560","-94,970","1,408,117","1,376,736","31,381","281,848","281,848","1,496,630","37,278,405","33,936,334","22,723,977","22,723,977","11,212,357",-,-,"710,954","710,954","710,954","1,514,030","1,514,030","132,030","1,382,000","2,631,117","2,631,117",-,-,"3,950,531","3,950,531","499,746","498,516","1,230","1,420,624","2,927,903","106,839","-790,903",-,-,"6,581,648","498,516","3,950,531","2,542,414","2,631,117","2,542,414","2,631,117","390,895","123,001","120,222","2,779"
2,9/30/2022,"41,404,592","2,460,708","2,460,708","216,436",-,"2,244,272",-,-,-,"36,990","2,967",-,"206,650","8,155,929","452,095","2,264,601","5,891,328","4,215","27,486,248","27,675,575","15,534","8,271,182","464,594","18,924,265",-,"189,327","-115,921","293,024","141,330",-,"151,694","30,125","389,472","389,472",-,-,-,-,"389,472",-,"1,439,746","1,405,736","34,010","321,650","321,650","1,432,532","37,528,647","34,195,872","21,420,116","21,420,116","12,775,756",-,-,"604,581","604,581","604,581","1,864,815","1,864,815","132,815","1,732,000","2,728,194","2,728,194",-,-,"3,875,945","3,875,945","499,747","498,516","1,231","1,381,062","2,950,088","106,738","-848,214",-,-,"6,604,139","498,516","3,875,945","2,436,199","2,728,194","2,436,199","2,728,194","267,486","123,089","120,314","2,775"
3,6/30/2022,"40,950,723","2,389,904","2,389,904","197,027",-,"2,192,877",-,-,-,"33,210",0,-,"205,498","9,041,015","421,110","2,260,367","6,780,648","4,001","26,312,432","26,501,137",-,"8,476,806","483,646","17,540,685",-,"188,705","-107,404","315,335","128,960",-,"186,375","26,816","375,316","375,316",-,-,-,-,"375,316",-,"1,443,395","1,405,736","37,659","254,090","254,090","1,355,451","36,972,320","33,968,152","20,630,123","20,630,123","13,338,029",-,-,"548,412","548,412","548,412","1,592,000","1,592,000",-,"1,592,000","2,455,756","2,455,756",-,-,"3,978,403","3,978,403","499,746","498,516","1,230","1,258,838","2,970,647","106,078","-644,750",-,-,"6,434,159","498,516","3,978,403","2,535,008","2,455,756","2,535,008","2,455,756","65,852","123,038","120,288","2,750"
4,3/31/2022,"39,249,639","2,070,681","2,070,681","205,446",-,"1,865,235",-,-,-,"17,250",304,-,"204,938","9,975,109","420,884",-,"9,975,109","3,771","24,154,674","24,352,072",0,"8,114,695","504,597","15,732,780",-,"197,398","-87,677","280,891","120,997",-,"159,894","26,502","376,316","376,316",-,-,-,-,"376,316",-,"1,447,044","1,405,736","41,308","141,008","141,008","1,208,261","35,599,044","33,224,895","19,167,844","19,167,844","14,057,051",-,-,"519,269","519,269","519,269","741,000","741,000",-,"741,000","1,854,880","1,854,880",-,-,"3,650,595","3,650,595","1,222",0,"1,222","1,136,478","2,991,159","101,789","-376,475",-,-,"5,505,475",-,"3,650,595","2,203,551","1,854,880","2,203,551","1,854,880",-,"119,602","119,602","2,614"
5,12/31/2021,"40,443,344","4,057,234","4,057,234","112,548",-,"3,944,686",-,-,-,"17,250","12,843",-,"203,836","10,694,458","436,160",-,"10,694,458","3,555","22,740,984","22,941,548",0,"7,868,051","457,650","14,615,847",-,"200,564","-84,760","289,584","120,329",-,"169,255","27,632","385,890","385,890","1,243","9,488","50,509","66,143","385,890","-87,525","1,450,693","1,405,736","44,957",-,-,"1,083,992","36,443,714","34,997,757","20,454,624","20,454,624","14,543,133",-,-,"582,674","582,674","582,674",-,-,-,-,"863,283","863,283",-,-,"3,999,630","3,999,630","1,221",0,"1,221","1,016,350","3,013,399","97,308","65,968",-,-,"4,862,913",-,"3,999,630","2,548,937","863,283","2,548,937","863,283",-,"122,106","119,585","2,521"
6,9/30/2021,"35,885,676","3,699,198","3,699,198","174,585",-,"3,524,613",-,-,-,"17,250","13,364",-,"202,725","9,276,926","377,777",-,"9,276,926","3,747","20,307,287","20,511,020",0,"6,872,222","405,968","13,232,830",-,"203,733","-77,235","232,792","109,855",-,"122,937","28,512","381,521","381,521",-,-,-,-,"381,521",-,"1,219,651","1,204,118","15,533",-,-,"970,479","31,967,242","30,559,745","17,677,939","17,677,939","12,881,806",-,-,"545,050","545,050","545,050",-,-,-,-,"862,447","862,447",-,-,"3,918,434","3,918,434","1,221",0,"1,221","880,305","3,035,052","97,003","98,859",-,-,"4,780,881",-,"3,918,434","2,698,783","862,447","2,698,783","862,447",-,"122,094","119,580","2,514"
7,6/30/2021,"34,867,987","5,858,092","5,858,092","179,505",-,"5,678,587",-,-,-,"17,250","13,227",-,"204,146","7,198,608","336,770",-,"7,198,608","4,391","19,280,657","19,506,257",0,"7,222,244","365,409","11,918,604",-,"225,600","-74,474","233,186","103,758",-,"129,428","25,409","353,115","353,115",-,-,-,-,"353,115",-,"1,222,541","1,204,118","18,423",-,-,"924,497","31,021,306","29,647,034","18,394,748","18,394,748","11,252,286",-,-,"505,859","505,859","505,859",-,-,-,-,"868,413","868,413",-,-,"3,846,681","3,846,681","1,221",0,"1,221","740,309","3,056,522","96,887","145,516",-,-,"4,715,094",-,"3,846,681","2,624,140","868,413","2,624,140","868,413",-,"122,067","119,555","2,511"
8,3/31/2021,"32,856,533","5,694,866","5,694,866","177,199",-,"5,517,667",-,-,-,"17,250","14,298",-,"204,177","5,941,690","294,366",-,"5,941,690","4,589","18,712,337","19,004,782","25,554","7,085,840","340,352","11,553,036",-,"292,445","-75,937","236,765","100,107",-,"136,658","21,384","367,035","367,035",-,-,-,-,"367,035",-,"1,225,404","1,204,092","21,312",-,-,"883,653","29,202,396","28,223,291","17,205,829","17,205,829","11,017,462",-,-,"493,541","493,541","493,541",-,-,-,-,"485,564","485,564","5,000",-,"3,654,137","3,654,137","1,215",0,"1,215","559,797","3,077,455","90,711","106,381",-,-,"4,139,701",-,"3,654,137","2,428,733","485,564","2,428,733","485,564",-,"121,480","119,106","2,375"
9,12/31/2020,"29,498,442","3,160,661","3,160,661","150,464",-,"3,010,197",-,-,-,"17,250","14,027",-,"203,031","5,235,591","285,812",-,"5,235,591","4,520","18,735,196","19,083,377",-,"7,502,905","320,255","11,260,217",-,"348,181","-69,980","224,177","101,596",-,"122,581","22,999","373,080","373,080","1,243","8,459","333,846","60,622","373,080","-81,982","1,102,311","1,078,670","23,641",-,-,"860,326","25,903,491","24,940,717","15,746,890","15,746,890","9,193,827",-,-,"491,962","491,962","491,962","5,000","5,000",-,"5,000","470,812","470,812",-,-,"3,594,951","3,594,951","1,207",0,"1,207","409,391","3,100,633","88,803","172,523",-,-,"4,065,763",-,"3,594,951","2,492,640","470,812","2,492,640","470,812",-,"120,737","118,415","2,322"
10,9/30/2020,"28,426,716","2,953,196","2,953,196","187,176",-,"2,766,020",-,-,-,"17,250","13,747",-,"201,884","4,532,614","262,627",-,"4,532,614","4,742","18,680,234","19,026,200",-,"7,363,174","362,234","11,300,792",-,"345,966","-75,480","181,031","86,540",-,"94,491","23,972","326,969","326,969",-,-,"286,425",-,"326,969",-,"1,105,483","1,078,670","26,813","1,080","1,080","797,223","24,940,485","23,965,695","14,618,951","14,618,951","9,346,744",-,-,"451,508","451,508","451,508","60,000","60,000",-,"60,000","523,282","523,282","10,000",-,"3,486,231","3,486,231","1,208",0,"1,208","292,561","3,125,554","88,566","155,474",-,-,"4,009,513",-,"3,486,231","2,380,748","523,282","2,380,748","523,282",-,"120,801","118,490","2,311"
11,6/30/2020,"27,365,738","1,921,136","1,921,136","174,059",-,"1,747,077",-,-,-,"17,250","1,449",-,"200,733","3,851,141","285,262",-,"3,851,141","4,781","19,393,581","19,694,631",-,"7,987,050","411,319","11,296,262",-,"301,050","-85,845","93,385","76,150",-,"17,235","24,971","337,490","337,490",-,-,"295,191",-,"337,490",-,"1,109,234","1,078,670","30,564",-,-,"734,457","23,912,840","22,928,579","14,299,036","14,299,036","8,629,543",-,-,"463,489","463,489","463,489","60,000","60,000",-,"60,000","520,772","520,772","10,000",-,"3,452,898","3,452,898","1,207",0,"1,207","247,058","3,148,090","88,495","145,038",-,-,"3,973,670",-,"3,452,898","2,343,664","520,772","2,343,664","520,772",-,"120,682","118,375","2,307"
12,3/31/2020,"26,143,267","612,260","612,260","172,570",-,"439,690",-,-,-,"54,244","1,701",-,"199,962","3,757,663","265,175",-,"3,757,663","4,290","19,524,013","19,745,305",0,"8,426,224","429,884","10,889,197",-,"221,292","-61,089","119,015","78,253",-,"40,762","20,602","346,329","346,329",-,-,"306,530",-,"346,329",-,"1,113,116","1,078,670","34,446",-,-,"733,941","22,752,878","19,575,837","12,065,619","12,065,619","7,510,218",-,-,"423,047","423,047","423,047","2,295,000","2,295,000",-,"2,295,000","2,753,994","2,753,994","1,904,000",-,"3,390,389","3,390,389","1,201",0,"1,201","213,854","3,171,312","86,894","90,916",-,-,"6,144,383",-,"3,390,389","2,277,273","2,753,994","2,277,273","2,753,994","2,141,734","120,131","117,917","2,214"
13,12/31/2019,"26,770,806","637,624","637,624","172,585",-,"465,039",-,-,-,"40,924",440,-,"199,029","3,797,187","158,189",-,"3,797,187","3,434","18,708,087","18,846,872",0,"7,695,496","440,827","10,710,549",-,"138,785","-63,868","129,759","81,479",-,"48,280","17,099","362,669","362,669","1,243","8,399","324,084","55,335","362,669","-73,973","2,587,064","2,548,670","38,394",0,0,"636,811","21,816,109","19,233,036","11,989,738","11,989,738","7,243,298",-,-,"365,856","365,856","365,856","1,459,000","1,459,000",-,"1,459,000","2,217,217","2,217,217","1,318,000",-,"4,954,697","4,954,697","1,219",0,"1,219","1,652,248","3,306,006","83,434","78,658",-,-,"7,171,914",-,"4,954,697","2,367,633","2,217,217","2,367,633","2,217,217","1,579,593","121,890","119,782","2,108"
